producing

root@kafk00perf10-vio-bk:/opt/kafka/bin# kafka-producer-perf-test --topic example --producer.config /opt/kafka/config/client-ssl1.properties --num-records 1000000 --throughput -1 --record-size 10000
1887 records sent, 374.5 records/sec (3.57 MB/sec), 4082.0 ms avg latency, 11892.0 ms max latency.
1175 records sent, 234.6 records/sec (2.24 MB/sec), 6233.4 ms avg latency, 14280.0 ms max latency.
1731 records sent, 346.2 records/sec (3.30 MB/sec), 6770.8 ms avg latency, 15615.0 ms max latency.
1849 records sent, 369.7 records/sec (3.53 MB/sec), 5700.4 ms avg latency, 17646.0 ms max latency.
2666 records sent, 533.2 records/sec (5.08 MB/sec), 5702.9 ms avg latency, 16311.0 ms max latency.
1764 records sent, 352.7 records/sec (3.36 MB/sec), 4857.7 ms avg latency, 12321.0 ms max latency.
2903 records sent, 579.4 records/sec (5.53 MB/sec), 3922.9 ms avg latency, 12019.0 ms max latency.
2565 records sent, 512.9 records/sec (4.89 MB/sec), 4694.3 ms avg latency, 10044.0 ms max latency.
1545 records sent, 308.6 records/sec (2.94 MB/sec), 4581.8 ms avg latency, 11636.0 ms max latency.
1805 records sent, 360.9 records/sec (3.44 MB/sec), 4731.5 ms avg latency, 11645.0 ms max latency.
1565 records sent, 312.9 records/sec (2.98 MB/sec), 5206.4 ms avg latency, 14959.0 ms max latency.
2703 records sent, 540.5 records/sec (5.15 MB/sec), 5485.6 ms avg latency, 14946.0 ms max latency.
1262 records sent, 252.4 records/sec (2.41 MB/sec), 5064.7 ms avg latency, 12543.0 ms max latency.
2313 records sent, 460.4 records/sec (4.39 MB/sec), 4997.6 ms avg latency, 13030.0 ms max latency.
2378 records sent, 474.7 records/sec (4.53 MB/sec), 5567.7 ms avg latency, 14525.0 ms max latency.
1870 records sent, 374.0 records/sec (3.57 MB/sec), 4748.8 ms avg latency, 11701.0 ms max latency.
2867 records sent, 573.3 records/sec (5.47 MB/sec), 4740.1 ms avg latency, 12047.0 ms max latency.
3819 records sent, 763.6 records/sec (7.28 MB/sec), 3371.6 ms avg latency, 8858.0 ms max latency.
3812 records sent, 762.2 records/sec (7.27 MB/sec), 2833.7 ms avg latency, 4881.0 ms max latency.
3620 records sent, 723.9 records/sec (6.90 MB/sec), 2743.2 ms avg latency, 4094.0 ms max latency.
3212 records sent, 642.4 records/sec (6.13 MB/sec), 3053.1 ms avg latency, 4669.0 ms max latency.
3334 records sent, 666.8 records/sec (6.36 MB/sec), 3071.6 ms avg latency, 4666.0 ms max latency.
3121 records sent, 624.2 records/sec (5.95 MB/sec), 3087.9 ms avg latency, 4674.0 ms max latency.
3503 records sent, 700.6 records/sec (6.68 MB/sec), 2944.9 ms avg latency, 4707.0 ms max latency.
3371 records sent, 674.1 records/sec (6.43 MB/sec), 2976.9 ms avg latency, 4710.0 ms max latency.
3377 records sent, 675.4 records/sec (6.44 MB/sec), 3008.2 ms avg latency, 4780.0 ms max latency.
3019 records sent, 603.8 records/sec (5.76 MB/sec), 3092.1 ms avg latency, 5341.0 ms max latency.
2516 records sent, 503.1 records/sec (4.80 MB/sec), 3957.1 ms avg latency, 6470.0 ms max latency.
2694 records sent, 538.7 records/sec (5.14 MB/sec), 3914.3 ms avg latency, 6675.0 ms max latency.
3497 records sent, 698.8 records/sec (6.66 MB/sec), 3025.9 ms avg latency, 6332.0 ms max latency.
2411 records sent, 481.5 records/sec (4.59 MB/sec), 4271.1 ms avg latency, 7218.0 ms max latency.
3750 records sent, 750.0 records/sec (7.15 MB/sec), 2897.9 ms avg latency, 7511.0 ms max latency.
3819 records sent, 763.8 records/sec (7.28 MB/sec), 2565.6 ms avg latency, 6229.0 ms max latency.
3944 records sent, 788.6 records/sec (7.52 MB/sec), 2425.0 ms avg latency, 6514.0 ms max latency.
3694 records sent, 738.8 records/sec (7.05 MB/sec), 2467.7 ms avg latency, 7375.0 ms max latency.
3684 records sent, 736.8 records/sec (7.03 MB/sec), 2709.8 ms avg latency, 7742.0 ms max latency.
2566 records sent, 513.0 records/sec (4.89 MB/sec), 2932.9 ms avg latency, 9082.0 ms max latency.
1181 records sent, 236.1 records/sec (2.25 MB/sec), 7320.8 ms avg latency, 11194.0 ms max latency.
2968 records sent, 593.5 records/sec (5.66 MB/sec), 4572.4 ms avg latency, 12498.0 ms max latency.
3871 records sent, 774.2 records/sec (7.38 MB/sec), 3252.2 ms avg latency, 12647.0 ms max latency.
1712 records sent, 342.1 records/sec (3.26 MB/sec), 3657.0 ms avg latency, 8638.0 ms max latency.
1514 records sent, 302.8 records/sec (2.89 MB/sec), 6005.3 ms avg latency, 11628.0 ms max latency.
2805 records sent, 560.7 records/sec (5.35 MB/sec), 4498.3 ms avg latency, 12241.0 ms max latency.
2287 records sent, 457.3 records/sec (4.36 MB/sec), 4687.3 ms avg latency, 11801.0 ms max latency.
1745 records sent, 349.0 records/sec (3.33 MB/sec), 6144.4 ms avg latency, 11410.0 ms max latency.
